sintez_group,posting_date,month,season,day,day_of_week,week,year,out_bmu_sum_30d,out_bmu_mean_30d,out_bmu_max_30d,cu_price_mean_30d,cu_price_max_30d,cu_price_min_30d,out_bmu_fact_count_sum_30d,out_bmu_fact_count_mean_30d,out_bmu_fact_count_max_30d,out_bmu_sum_60d,out_bmu_mean_60d,out_bmu_max_60d,out_bmu_sum_90d,out_bmu_mean_90d,out_bmu_max_90d,out_bmu_sum_31_60d,out_bmu_mean_31_60d,out_bmu_max_31_60d,out_bmu_sum_61_90d,out_bmu_mean_61_90d,out_bmu_max_61_90d,predict_0,predict_1,predict_2,predict_3,predict_4,predict_5,predict_6,predict_7,predict_8,predict_9,predict_10,predict_11
Ca_4_Si_Zheq3_Vlo_Cu,2017-03-31,3,2,31,4,13,2017,67.566,2.2522,67.105,5963.716666666666,6881.25,5592.5,101.0,3.3666666666666667,96.0,119.906,1.9984333333333335,67.105,119.906,1.3322888888888889,67.105,52.34,1.7446666666666668,36.212,52.34,1.7446666666666668,36.212,35.663,189.19,28.471,41.425,38.984,94.884,81.814,42.751,56.653,61.111,10.548,10.463
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-01,4,2,1,5,13,2017,67.566,2.2522,67.105,5959.25,6881.25,5592.5,101.0,3.3666666666666667,96.0,116.994,1.9499,67.105,119.906,1.3322888888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,25.34,177.613,32.235,42.171,41.369,87.789,82.814,41.751,61.249,56.515,10.548,10.509
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-02,4,2,2,6,13,2017,67.566,2.2522,67.105,5948.991666666667,6881.25,5592.5,101.0,3.3666666666666667,96.0,116.994,1.9499,67.105,119.906,1.3322888888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,25.34,203.066,14.348,34.605,41.369,101.435,69.168,43.745,60.147,55.906,10.265,10.509
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-03,4,2,3,0,14,2017,67.566,2.2522,67.105,5944.966666666666,6881.25,5592.5,101.0,3.3666666666666667,96.0,116.994,1.9499,67.105,119.906,1.3322888888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,21.879,203.066,14.498,43.379,84.635,53.61,64.817,46.897,63.412,49.475,10.265,10.509
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-04,4,2,4,1,14,2017,67.566,2.2522,67.105,5951.241666666667,6881.25,5592.5,101.0,3.3666666666666667,96.0,116.994,1.9499,67.105,119.906,1.3322888888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,21.879,203.066,14.498,43.379,108.566,90.685,7.22,45.36,76.321,34.694,10.265,10.587
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-05,4,2,5,2,14,2017,67.566,2.2522,67.105,5949.466666666666,6881.25,5539.25,101.0,3.3666666666666667,96.0,116.994,1.9499,67.105,119.906,1.3322888888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,22.076,202.869,14.498,43.379,108.766,90.485,31.573,42.219,56.604,33.199,18.529,5.29
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-06,4,2,6,3,14,2017,67.566,2.2522,67.105,5936.975,6881.25,5539.25,101.0,3.3666666666666667,96.0,116.994,1.9499,67.105,119.906,1.3322888888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,22.126,202.819,14.498,43.379,108.766,90.485,31.573,42.596,88.298,2.463,17.194,12.076
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-07,4,2,7,4,14,2017,69.456,2.3152,67.105,5921.758333333333,6881.25,5539.25,106.0,3.533333333333333,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,22.126,202.819,14.498,43.379,108.766,90.485,31.573,42.596,88.298,5.46,14.197,12.076
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-08,4,2,8,5,14,2017,69.456,2.3152,67.105,5922.266666666666,6881.25,5539.25,106.0,3.533333333333333,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,17.053,202.819,14.498,43.379,108.766,90.615,31.443,42.596,88.298,5.46,14.197,12.076
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-09,4,2,9,6,14,2017,69.456,2.3152,67.105,5935.916666666667,6922.0,5539.25,106.0,3.533333333333333,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,17.053,202.819,14.498,43.379,108.766,90.815,31.243,42.596,88.298,5.46,14.197,12.076
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-10,4,2,10,0,15,2017,69.456,2.3152,67.105,5923.583333333333,6922.0,5539.25,106.0,3.533333333333333,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,17.053,202.819,14.498,53.443,98.702,91.565,30.493,42.596,88.298,5.46,14.295,11.978
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-11,4,2,11,1,15,2017,69.456,2.3152,67.105,5911.25,6922.0,5539.25,106.0,3.533333333333333,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,17.053,202.969,14.348,53.443,98.742,91.525,34.853,38.236,88.298,5.46,14.295,11.978
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-12,4,2,12,2,15,2017,69.456,2.3152,67.105,5944.866666666667,6922.0,5539.25,106.0,3.533333333333333,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,17.253,202.769,14.348,53.443,98.742,91.525,34.853,39.186,87.348,9.132,10.623,12.178
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-13,4,2,13,3,15,2017,69.456,2.3152,67.105,5939.825,6922.0,5539.25,106.0,3.533333333333333,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,69.299,150.523,14.373,53.438,98.722,91.525,34.853,44.246,82.288,9.132,10.623,12.178
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-14,4,2,14,4,15,2017,69.456,2.3152,67.105,5932.933333333333,6922.0,5539.25,106.0,3.533333333333333,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,68.755,150.523,14.373,53.438,98.722,91.525,35.803,43.296,82.288,9.132,10.623,12.178
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-15,4,2,15,5,15,2017,69.456,2.3152,67.105,5925.258333333333,6922.0,5539.25,106.0,3.533333333333333,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,66.541,150.523,14.373,53.438,98.722,91.525,35.803,43.296,82.288,9.132,10.623,12.178
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-16,4,2,16,6,15,2017,69.456,2.3152,67.105,5916.591666666666,6922.0,5539.25,106.0,3.533333333333333,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,66.541,150.523,14.373,53.438,98.722,91.525,35.803,43.296,82.288,9.132,10.623,13.225
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-17,4,2,17,0,16,2017,69.456,2.3152,67.105,5907.925,6922.0,5539.25,106.0,3.533333333333333,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,66.541,150.523,14.373,53.438,98.722,91.525,35.803,43.296,82.288,9.132,10.623,13.225
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-18,4,2,18,1,16,2017,69.456,2.3152,67.105,5896.575,6922.0,5539.25,106.0,3.533333333333333,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,66.515,150.523,14.373,53.438,98.722,91.525,36.929,42.17,82.288,9.132,10.623,13.723
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-19,4,2,19,2,16,2017,69.456,2.3152,67.105,5887.591666666666,6922.0,5539.25,106.0,3.533333333333333,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.428000000000004,1.6476000000000002,36.212,49.428000000000004,1.6476000000000002,36.212,66.515,150.523,14.373,53.438,99.363,90.884,36.949,49.204,75.234,9.132,10.623,13.723
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-20,4,2,20,3,16,2017,69.276,2.3091999999999997,67.105,5883.05,6922.0,5539.25,104.0,3.466666666666667,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.608000000000004,1.6536000000000002,36.212,49.608000000000004,1.6536000000000002,36.212,66.515,150.523,14.373,53.438,99.363,90.884,40.914,46.989,73.484,9.132,10.623,13.723
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-21,4,2,21,4,16,2017,69.276,2.3091999999999997,67.105,5876.533333333334,6922.0,5539.25,104.0,3.466666666666667,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.608000000000004,1.6536000000000002,36.212,49.608000000000004,1.6536000000000002,36.212,65.368,150.523,14.373,53.438,99.363,90.884,40.914,46.989,73.484,9.132,10.623,13.723
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-22,4,2,22,5,16,2017,69.276,2.3091999999999997,67.105,5869.366666666667,6922.0,5539.25,104.0,3.466666666666667,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.608000000000004,1.6536000000000002,36.212,49.608000000000004,1.6536000000000002,36.212,65.368,150.523,14.373,53.438,99.363,90.884,43.748,44.155,73.484,9.534,10.221,13.776
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-23,4,2,23,6,16,2017,69.276,2.3091999999999997,67.105,5863.583333333333,6922.0,5539.25,104.0,3.466666666666667,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.608000000000004,1.6536000000000002,36.212,49.608000000000004,1.6536000000000002,36.212,65.368,150.523,14.393,53.418,100.463,89.784,43.748,56.288,61.351,9.534,10.221,13.776
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-24,4,2,24,0,17,2017,69.276,2.3091999999999997,67.105,5858.308333333333,6922.0,5539.25,104.0,3.466666666666667,96.0,118.884,1.9814,67.105,121.796,1.353288888888889,67.105,49.608000000000004,1.6536000000000002,36.212,49.608000000000004,1.6536000000000002,36.212,65.368,151.438,13.478,53.455,109.463,80.747,43.748,56.338,61.301,9.534,10.221,13.776
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-25,4,2,25,1,17,2017,70.091,2.3363666666666663,67.105,5855.033333333334,6922.0,5539.25,108.0,3.6,96.0,119.699,1.9949833333333333,67.105,122.611,1.3623444444444446,67.105,49.608000000000004,1.6536000000000002,36.212,49.608000000000004,1.6536000000000002,36.212,65.368,151.438,13.478,53.455,109.463,82.262,42.233,56.838,60.801,9.534,10.221,13.776
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-26,4,2,26,2,17,2017,70.812,2.3604,67.105,5852.9,6922.0,5539.25,109.0,3.6333333333333333,96.0,120.42,2.007,67.105,123.33200000000001,1.3703555555555555,67.105,49.608000000000004,1.6536000000000002,36.212,49.608000000000004,1.6536000000000002,36.212,65.188,151.438,13.478,53.455,110.113,81.612,42.513,56.558,60.801,9.534,11.223,12.774
Ca_4_Si_Zheq3_Vlo_Cu,2017-04-27,4,2,27,3,17,2017,70.91199999999999,2.3637333333333332,67.105,5846.941666666667,6922.0,5539.25,110.0,3.6666666666666665,96.0,120.52,2.0086666666666666,67.105,123.432,1.3714666666666666,67.105,49.608000000000004,1.6536000000000002,36.212,49.608000000000004,1.6536000000000002,36.212,189.49,27.018,42.617,24.316,110.113,81.612,42.513,57.07,60.289,9.534,11.223,12.774
